Field;Title;Short Title;Description;Source
Energieerzeugung;Wind-Ausbau: In 2030 soll die Anzahl der Windkraftanlagen auf 42 WEA verdoppelt werden, um jährlich 280 GWh Strom zu erzeugen.;Wind-Ausbau;Ziel 2030: Im Rahmen einer innovativen, klimaschutzorientierten Energieversorgung wer- den die Stadtwerke Münster in erheblichem Umfang in regenerative Erzeu- gungskapazitäten in Onshore-Windenergieanlagen auf Freiflächen investieren. Bis 2030 soll die Anzahl der Windkraftanlagen auf 42 WEA verdoppelt werden, um jährlich 280 GWh Strom zu erzeugen.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;PV-Ausbau: In 2030 sind PV-Anlagen von den Stadtwerken Münster zugebaut, um 100 GWh Strom durch Sonne zu erzeugen.;PV-Ausbau;"Ziel 2030: Im Rahmen einer innovativen, klimaschutzorientierten Energieversorgung wer- den die Stadtwerke Münster in erheblichem Umfang in regenerative Erzeu- gungskapazitäten, konkret in die Errichtung von Photovoltaikanlagen auf Müns- ters Dächern, investieren.
Die Stadtwerke Münster wollen PV-Anlagen (Dachanlagen, Freiflächeanlagen) bis 2030 zubauen, um 100 GWh Strom durch Sonne zu erzeugen.
Der Großteil dieser Anlagen wird auf dem Stadtgebiet in Münster realisiert. Dies wird durch das Schaffen von passgenauen Angeboten für die Zielgruppen „In- dustrie/Gewerbe, Wohnungswirtschaft, Stadt Münster und die Landwirtschaft“ geschafft.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Kommunale Wärme- und Energienutzungsplanung (ENP);Kommunale Wärme- und Energienutzungsplanung (ENP);" - Erstellung einer iterativen ENP zur Umsetzung der (kommenden) rechtlichen
Verpflichtung zur kommunalen Wärmeplanung
- ENP soll zumindest perspektivisch inhaltlich über kommunale Wärmeplanung
hinausgehen und Themen wie Strom, Grüne Gase und Kälte integriert betrach-
ten.
- Ermittlung von räumlich und zeitlich abgegrenzten Energieversorgungsvari-
anten zur langfristigen Planungssicherheit für alle Beteiligten unter Berücksich-
tigung von Dekarbonisierung, Preisstabilisierung und Energiesicherheit – wenn
möglich schon im Prozess Zwischenergebnisse herausgeben
- Energieeffizienz von Gebäuden ist parallel eine wichtige Bedingung
- Zusammenführung bereits schon laufender und bestehender Konzepte der
relevanten Akteure";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;BEW-Transformationsplan;BEW-Transformationsplan;"Ziel 2030: Mit dem Transformationsplan für Wärmenetze schreiben die Stadtwerke Müns- ter die Transformation zur Grünen Fernwärmeversorgung in Münster weiter fort. Im Jahr 2030 soll der Anteil erneuerbarer Energien in der Fernwärme bei 30 % liegen.
Eine vollständige Umstellung auf Grüne Wärmeerzeugung wird realistisch be- trachtet nicht bis zum Jahr 2030 möglich sein. Es bedarf Übergangslösungen mit umwelteffizienter Kraft-Wärme-Kopplungstechnologie.
Dabei setzen die Stadtwerke Münster bei ihrer Wärmestrategie auf verschiedene erneuerbare dezentrale Erzeugungstechniken, das Rückgrat bildet dabei das Fernwärmenetz als bereits vorhandene großflächige und weiter zu verdich- tende innerstädtische Verteilstruktur. Ein großer Baustein der Wärmeerzeu- gung könnte die Tiefe Geothermie werden, die angesichts der geologischen Ausgangssituation eine vielversprechende Option darstellt. Weitere Leittech- nologien sind Solarthermie, die elektrische Wärmeerzeugung in Power-to- Heat-Anlagen, Nutzung von Umweltwärme mittels Großwärmepumpen (u. a. aus dem Dortmund-Ems-Kanal und aus Abwasser) als auch saisonale Groß- wärmespeicher. Teilweise sind bzw. werden diese Technologien auch im Heizkraftwerk angesiedelt.";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Heimatwärme aus der Tiefe: Im Jahr 2030 wollen die Stadtwerke Münster das erste Geothermie-Heizwerk mit einer Bohrdublette in Betrieb nehmen.;Geothermie-Heizwerk;Ziel 2030: Im Jahr 2030 wollen die Stadtwerke Münster das erste Geothermie-Heizwerk mit einer Bohrdublette in Betrieb nehmen und speisen damit jährlich bis zu 40 GWh klimaneutral in das Münsteraner Fernwärmenetz ein. Das erreichen die Stadtwerke, indem sie durch stetige Explorationsmaßnahmen einer 3-D-Seismik und einer Probebohrung das tatsächliche Potenzial der Tiefen Geothermie für Münster auf 1500 m Tiefe beweisen wollen. Der Plan zur Skalierung der Tiefen Geothermie mit weiteren Standorten für die Zukunft wird anschließend konkretisiert und die Planung der zweiten Bohrdublette beginnt.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Großwärmepumpen als Multitalent für Umweltwärme-Nutzung;Großwärmepumpen;Ziel 2030:4 Großwärmepumpen sollen bis 2030 in Betrieb genommen werden. Diese nutzen gewerblich-industrielle Abwärme, den Dortmund-Ems-Kanal und Klärwerksabwärme. Zusammengerechnet erzeugen diese Anlagen bis zu 100 GWh klimaneutrale Wärme.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Freiflächen-Solarthermie als Beschleuniger der Transformation: Im Jahr 2030 soll Freiflächen-Solarthermie in Münster etabliert sein;Freiflächen-Solarthermie ;Ziel 2030: Im Jahr 2030 soll Freiflächen-Solarthermie in Münster etabliert sein, da die Technologie erprobt ist. Durch die Solarthermie könnten die Kunden der Stadtwerke im Sommer eine vollständig klimaneutrale Fernwärmeversorgung erhalten und ab 2030 könnte im Jahr bis zu 50 GWh Wärme mit diesen Anlagen erzeugt werden. Sommerli- che Überschüsse sollen mit einem Saisonalspeicher für den Herbst nutzbar gemacht werden;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Grüne Nahwärme: In 2030 sollen vier Neubaugebiete durch Grüne Nahwärme mit Wärme und „Temperierung“ versorgt werden;Grüne Nahwärme;Ziel 2030: Im Jahr 2030 sollen vier Neubaugebiete durch innovative Nahwärme mit Wärme und „Temperierung“ versorgt werden. Für die Bestands-Nahwärmenetze Albachten, Roxel, Amelsbüren und Hiltrup wird der zukünftige Weg durch Transformationspläne vorgezeichnet. Im Amelsbürener Wärmenetz soll bis 2030 eine erste erneuerbare Wärmeerzeugungs-Anlage umgesetzt werden und in Betrieb gehen. Für eine Abwärmenutzung des neuen Klärwerks in Hiltrup soll die Projektplanung abgeschlossen sein.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;110kV-Zielnetzplanung: Münsters Süden soll in 2030 durch ein Hochspannungsnetz versorgt werden.;Hochspannungsnetz in Münsters Süden;Ziel 2030: Im Jahre 2030 wollen die Stadtnetze Münster über ein eigenes Hochspannungsnetz verfügen. Dieses Hochspannungsnetz besteht aus zwei redundant ausgelegten Hochspannungskabeln, die ein neues Umspannwerk am Hansa- Businesspark speisen. Mithilfe des neuen Umspannwerks wird der südwestliche Teil Münsters, rund um den Hansa-Businesspark, zuverlässig mit Strom versorgt. Es sorgt auch dafür, dass die vor Ort erneuerbar erzeugten Megawatt aus den umliegenden Erneuerbare-Energie-Anlagen, z. B. aus Photovoltaikanlagen und Windenergieanlagen der Stadtwerke Münster, in das Münsteraner Stromnetz eingespeist und der Energiebedarf Münsters zunehmend aus eige- ner Stromerzeugung gedeckt werden kann. Damit leistet die Stadtwerke-Münster-Gruppe einen wichtigen Beitrag zur Energie- und Mobilitätswende.;Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
Energieerzeugung;Netztransformation – Intelligente Niederspannung: In 2030 sind 95 % aller Haushalte mit intelligenten Messsystemen für Strom und 100 % für Gas ausgerüstet.;Intelligenten Messsysteme in Haushalten;"Ziel 2030:
- 95% aller Haushalte sollen mit intelligenten Messsystemen in 2030 ausgerüstet sein (Strom).
- 100% aller Haushalte mit Gasabnahmegeräten sollen ein intelligentes Messsystem für Gas haben und an das Smart Meter Gateway angeschlossen sein (vgl.: § 20 MsbG & § 40 MsbG) (Gas).
- 100% aller Haushalte mit Fernwärmeabnahme sollen ein intelligentes Messsystem für Wärmemengen haben und an das Smart Meter Gateway angeschlossen sein (vgl.: § 3 FFVAV ff.) (Fernwärme).
- Dies ermöglicht aus Netzsicht eine bessere Transparenz der Verbräuche und Leistungen der spartenübergreifenden Abnahmen. Dies ermöglicht beispielsweise die Steuerbarkeit von Verbrauchseinrichtungen (vgl.: § 14a EnWG).";Climate City Contract - 2030 Climate Neutrality Action Plan of the City of Muenster - 4.2 Module B-2 Climate Neutrality Portfolio Design (z. Dt.: Modul B-2 Portfolio-Gestaltung Klimaneutralität)
